number,name,addressStreet,addressParcel
1,가로판매점제55호,서울 용산구 청파로 286,서울 용산구 청파동2가 120-35
2,아싸 대박 복권,서울 은평구 진흥로13길 13-4,서울 은평구 대조동 33-2
3,루이방,경기 과천시 중앙로 135-1,경기 과천시 중앙동 40-1
4,드림복권판매점,전북 전주시 완산구 밤나무2길 2,전북 전주시 완산구 효자동1가 625-10
5,불모산로또탐험대,경남 김해시 금관대로 187,경남 김해시 대청동 800-11
6,단지정육점,서울 노원구 섬밭로 287,서울 노원구 중계동 504-1
7,인생로또식물가게,서울 종로구 삼일대로30길 21,서울 종로구 낙원동 58-1
8,충신 행운복권방,서울 종로구 율곡로 253,서울 종로구 충신동 27-17
9,삼천리 하이퍼마켓,서울 중랑구 겸재로36길 25,서울 중랑구 면목동 506-42
10,로또명당,대구 북구 관음로 51,대구 북구 관음동 1369
11,씨유 과천해오름점,경기 과천시 중앙로 59,경기 과천시 갈현동 692
12,골드복권,경기 의정부시 회룡로 188,경기 의정부시 장암동 20-9
13,공단복권방,전북 익산시 석암로 163,전북 익산시 석암동 389-153
14,노다지복권판매점,전북 익산시 군익로 439-1,전북 익산시 송학동 266
15,진안복권,전북 진안군 중앙로 119-4,전북 진안군 진안읍 군상리 459-1
16,옥포 이편한점,경남 거제시 성산로 42,경남 거제시 옥포동 878-4
17,6/45 로또,서울 강동구 아리수로93가길 87,서울 강동구 강일동 215
18,금손 로또복권,부산 사하구 장림로 178,부산 사하구 장림동 327-2
19,영슈퍼,대전 서구 문정로150번길 7,대전 서구 탄방동 1163
20,봄이네복권,경기 성남시 수정구 산성대로93번길 25,경기 성남시 수정구 수진동 4002
21,일등로또,경기 파주시 갈현로 38,경기 파주시 탄현면 갈현리 287-6
22,신박한 로또,경기 하남시 미사강변동로 70,경기 하남시 망월동 1134-2
23,대성로또,전북 익산시 와리길 7-6,전북 익산시 함열읍 와리 565-12
24,주인공로또판매점,전북 익산시 서동로 150,전북 익산시 마동 77-5
25,유진장갑보루,경북 경산시 하양로 476,경북 경산시 와촌면 계당리 144-4
26,행복충전,경북 포항시 북구 삼흥로 441,경북 포항시 북구 흥해읍 남송리 743-5
27,로또GS송림점,경남 밀양시 삼문중앙로 48,경남 밀양시 삼문동 171-6
28,이마트24창원진동점,경남 창원시 마산합포구 신서촌로 20,경남 창원시 마산합포구 진동면 진동리 627-5
29,신효복권판매점,제주 서귀포시 효돈로123번길 1,제주 서귀포시 신효동 762-1
30,수 복권방,서울 광진구 능동로49길 41,서울 광진구 중곡동 230-16
31,365복권,서울 동대문구 제기로 154,서울 동대문구 청량리동 36-12
32,지에스25시 양재구룡공원,서울 서초구 동산로16길 33,서울 서초구 양재동 398-13
33,우리마트,서울 종로구 창경궁로 109,서울 종로구 인의동 112-2
34,동행로또,부산 동구 초량상로79번길 33-2,부산 동구 초량동 931-19
35,좋은하루,부산 중구 충장대로9번길 17-1,부산 중구 중앙동4가 84-23
36,선비일층슈퍼,대전 대덕구 계족산로 135,대전 대덕구 송촌동 462
37,하나마트,대전 동구 매봉로 18,대전 동구 가양동 434
38,대운상사,경기 남양주시 장현로 178,경기 남양주시 진접읍 장현리 229-4
39,로또 판매점,경기 동두천시 중앙로 277,경기 동두천시 생연동 602-15
40,베스트,경기 성남시 수정구 위례서일로3길 2,경기 성남시 수정구 창곡동 547-13
41,아름드림 복권방,경기 수원시 팔달구 덕영대로 693,경기 수원시 팔달구 화서동 644-1
42,하늘이네복권,제주 제주시 임항로 266,제주 제주시 건입동 1037-6
43,복권점,서울 동대문구 전농로 136,서울 동대문구 전농동 33-38
44,동행복권,부산 동래구 명안로 50-2,부산 동래구 명장동 140-49
45,라온,경기 남양주시 경춘로 2173,경기 남양주시 화도읍 월산리 312-4
46,153 마트,경기 의정부시 가능로49번길 11,경기 의정부시 가능동 666-19
47,디미방 복권,경기 화성시 동탄영천로 108-21,경기 화성시 영천동 산17-78
48,로또명당,전북 무주군 주계로8길 7,전북 무주군 무주읍 읍내리 236-7
49,동행복권 무주구천점,전북 무주군 구천동로 892,전북 무주군 설천면 삼공리 323-11
50,롤렉스복권방,전북 전주시 완산구 난전들로 251,전북 전주시 완산구 삼천동1가 364-1
51,성산주유소,경북 고령군 성산로 970,경북 고령군 성산면 득성리 139-3
52,씨스페이스구미문성점,경북 구미시 동평로 75,경북 구미시 고아읍 문성리 1604
53,씨유창원천선점,경남 창원시 성산구 안민로159번길 4-1,경남 창원시 성산구 천선동 1168-10
54,세화복덩이,제주 제주시 세화3길 27-2,제주 제주시 구좌읍 세화리 3644-8
55,연수로 로또판매점,부산 연제구 연수로 104,부산 연제구 연산동 825-42
56,월정로또,제주 제주시 일주동로 2592,제주 제주시 구좌읍 행원리 1144
57,돈벼락,서울 도봉구 도봉로 675,서울 도봉구 방학동 703-65
58,시장상회,서울 동대문구 한빛로 58-2,서울 동대문구 용두동 232-1
59,또기쁨복권판매점,서울 서대문구 모래내로15길 40,서울 서대문구 남가좌동 119-27
60,바른로또,대구 달성군 돌미로 52,대구 달성군 옥포읍 강림리 1132
61,동행복권,대구 달성군 돌미로2길 15,대구 달성군 옥포읍 강림리 1133
62,다산 빙그레로또,경기 남양주시 미금로 51,경기 남양주시 다산동 4306-1
63,번영로로또판매점,전북 군산시 번영로 74,전북 군산시 경장동 510-19
64,코아복권판매점,전북 전주시 완산구 팔달로 252,전북 전주시 완산구 서노송동 632-3
65,이영,전북 전주시 완산구 백제대로 115,전북 전주시 완산구 효자동1가 563-5
66,에브리복권,경북 포항시 남구 문덕로38번길 9,경북 포항시 남구 오천읍 문덕리 332-4
67,로또아이스크림,경북 포항시 남구 냉천로 224-1,경북 포항시 남구 오천읍 원리 1423
68,탐나네,제주 제주시 노연로 138,제주 제주시 연동 294-39
69,샤이닝복권,충북 보은군 삼산로1길 16,충북 보은군 보은읍 삼산리 14-6
70,황금복권,충남 논산시 연무로 208-1,충남 논산시 연무읍 마산리 529-6
